authority_id,authority_name
1,user:read
2,user:write
3,user:update
4,user:delete
5,user:profile
6,category:read
7,category:write
8,category:update
9,category:delete
10,product:read
11,product:write
12,product:update
13,product:delete
14,order:toaddtocart
15,order:tosave
16,order:tomake
17,order:topayment
18,order:invoicedownload
19,order:detail
20,order:detaildownload
21,order:togetfromhistory
22,order:view
23,order:status
24,report:product
25,report:productdownload
26,payments:topay
27,file:read
28,file:upload
29,file:delete
30,file:resource
31,file:download
32,banner:read
33,banner:write
34,banner:update
35,banner:delete
36,content:read
37,content:post
38,actuator:read
39,actuator:post
40,ROLE_ADMIN
41,ROLE_CUSTOMER
